id,x1,y1,lat,lng,type
B144,573,368,53.982503,-6.39223,N/A
B145,600,368,53.982509,-6.392198,N/A
B146,627,368,53.982517,-6.392162,N/A
B147,654,368,53.982523,-6.39213,N/A
B148,695,368,53.982533,-6.392076,N/A
B149,722,368,53.98254,-6.392038,N/A
B150,749,368,53.982547,-6.392004,N/A
B151,776,368,53.982557,-6.391973,N/A
B152,803,368,53.982563,-6.391935,N/A
B153,830,368,53.982568,-6.3919,N/A
B154,857,368,53.982575,-6.391862,N/A
B155,884,368,53.982582,-6.391832,N/A
B156,911,368,53.982587,-6.391793,N/A
B157,124,405,53.982349,-6.392797,N/A
B158,151,405,53.982355,-6.392762,N/A
B159,178,405,53.982362,-6.39273,N/A
B160,205,405,53.982369,-6.392693,N/A
B161,457,405,53.982429,-6.392359,N/A
B162,484,405,53.982437,-6.392327,N/A
B163,511,405,53.982444,-6.392289,N/A
B164,538,405,53.982448,-6.392253,N/A
B165,580,405,53.98246,-6.392199,N/A
B166,607,405,53.982464,-6.392164,N/A
B167,634,405,53.98247,-6.392129,N/A
B168,661,405,53.982477,-6.392091,N/A
B169,688,405,53.982482,-6.392058,N/A
B170,715,405,53.98249,-6.392023,N/A
B171,742,405,53.982496,-6.391989,N/A
B172,769,405,53.982505,-6.391952,N/A
B173,808,405,53.982516,-6.391899,N/A
B174,835,405,53.982522,-6.391866,N/A
B175,862,405,53.982527,-6.391829,N/A
B176,889,405,53.982533,-6.391795,N/A
B177,916,405,53.982539,-6.391761,N/A
B178,943,405,53.982544,-6.391724,N/A
B179,970,405,53.98255,-6.391687,N/A
B180,997,405,53.982556,-6.391653,N/A
B181,1038,405,53.982565,-6.391596,N/A
B182,1065,405,53.982569,-6.39156,N/A
B183,124,483,53.982259,-6.392747,N/A
B184,151,483,53.982265,-6.392713,N/A
B185,178,483,53.982271,-6.392678,N/A
B186,205,483,53.982278,-6.392644,N/A
B187,232,483,53.982283,-6.392611,N/A
B188,259,483,53.98229,-6.392575,N/A
B189,286,483,53.982297,-6.392541,N/A
B190,313,483,53.982303,-6.392506,N/A
B191,348,483,53.982314,-6.392448,N/A
B192,375,483,53.982321,-6.392411,N/A
B193,402,483,53.982326,-6.39238,N/A
B194,429,483,53.982334,-6.392346,N/A
B195,456,483,53.982342,-6.392311,N/A
B196,483,483,53.982347,-6.392278,N/A
B197,510,483,53.982353,-6.392241,N/A
B198,537,483,53.982361,-6.392208,N/A
B199,578,483,53.982371,-6.392152,N/A
B200,605,483,53.982376,-6.392117,N/A
B201,632,483,53.982384,-6.392081,N/A
B202,659,483,53.982388,-6.392046,N/A
B203,686,483,53.982395,-6.392011,N/A
B204,713,483,53.982404,-6.391977,N/A
B205,740,483,53.98241,-6.391943,N/A
B206,767,483,53.982417,-6.391909,N/A
B207,807,483,53.982427,-6.391853,N/A
B208,834,483,53.982433,-6.391817,N/A
B209,861,483,53.982437,-6.391781,N/A
B210,888,483,53.982445,-6.391746,N/A
B211,915,483,53.982451,-6.391712,N/A
B212,942,483,53.982457,-6.391676,N/A
B213,969,483,53.982467,-6.391642,N/A
B214,996,483,53.982472,-6.39161,N/A
B215,124,515,53.982218,-6.392728,N/A
B216,151,515,53.982224,-6.392692,N/A
B217,178,515,53.982229,-6.392658,N/A
B218,205,515,53.982237,-6.392623,N/A
B219,232,515,53.982243,-6.392589,N/A
B220,259,515,53.982249,-6.392554,N/A
B221,286,515,53.982257,-6.39252,N/A
B222,313,515,53.982263,-6.392483,N/A
B223,348,515,53.982273,-6.392428,N/A
B224,375,515,53.98228,-6.392397,N/A
B225,402,515,53.982286,-6.392361,N/A
B226,429,515,53.982291,-6.392325,N/A
B227,456,515,53.982299,-6.392292,N/A
B228,483,515,53.982306,-6.392255,N/A
B229,510,515,53.982312,-6.39222,N/A
